r,g,b,label,label_int
88.82775775690793,76.38446022224568,87.75261444026577,lake,0
76.53938486090517,86.1974212319171,72.55243215655231,lake,0
84.86675765095535,89.51311017766636,83.99658842369223,lake,0
70.96586550041515,85.6142827586193,78.78355493962779,lake,0
106.34404684534069,109.71403421563733,107.1418638185946,lake,0
82.91539515087985,98.89913044762578,100.91183566857612,lake,0
79.25845143522288,90.05622935142272,77.29383639613928,lake,0
85.22398780387518,88.62401254187459,85.27270231933178,lake,0
101.0464470702428,103.81545010844592,103.51934536647856,lake,0
81.70911370313665,90.63545820966633,74.16972894572184,lake,0
110.21605114921502,119.093340922103,110.03455204974256,lake,0
80.8745870317504,88.2562897709673,85.21111561209284,lake,0
84.11334632934422,84.57126036481135,86.56856146191305,lake,0
79.91147433830088,98.2070801502623,82.83186845392422,lake,0
78.07586640455061,94.99203395987251,73.70519728165434,lake,0
61.43320942045919,77.09951383262242,53.27997441120321,lake,0
57.04769773137285,69.54611527887057,58.53533818242141,lake,0
70.70577143257461,71.3389755048964,70.73036346841039,lake,0
77.54516835906267,82.79410288361765,77.08912194611784,lake,0
78.58481332191636,80.23844446013348,78.59289506469167,lake,0
116.12176119611408,122.40276216357316,119.35009619359704,lake,0
93.81036766803363,97.62600334273928,95.27245469225818,lake,0
94.05116984837086,100.79647380636284,100.39511172883772,lake,0
78.1054806288201,74.01939536766778,84.43115110772092,lake,0
90.22093928505382,93.0771433072248,92.53961595433717,lake,0
91.61150481929184,98.47650074020846,100.25965186122347,lake,0
88.96565518651252,100.9234318178078,88.68083925922375,lake,0
86.896128806152,92.00324767853354,87.27752764400967,lake,0
69.26013759650436,73.39573909789222,81.62975483715854,lake,0
85.41928194222176,92.625183772601,86.73583441652458,lake,0
91.51360570007144,97.89973009355728,95.08765579420428,lake,0
74.08762802817184,82.82153153217027,76.07502791414535,lake,0
86.34398001433291,93.76371872740144,89.75918928270477,lake,0
88.48239131824559,96.41553077142386,92.80633466560622,lake,0
92.7356563688866,104.17097543246923,97.12594859402758,lake,0
92.0068854698826,98.92190152571996,90.54646606565588,lake,0
75.04993717293262,64.59687063985182,65.5410155785036,lake,0
64.92958516383707,62.18042925838838,69.3733179749888,lake,0
90.45070352629983,93.84673273774726,93.98582930898068,lake,0
107.7982010025531,108.596287758084,104.9015189752985,lake,0
89.77487462968676,97.25809796019688,85.45435028675938,lake,0
83.52805160280987,88.97873249745753,86.58524134580752,lake,0
83.94590458370718,88.44395671645371,108.81023833178104,lake,0
84.94815773477268,84.99530642827236,81.78574250518864,lake,0
94.97627420506244,97.34761921205993,98.9651310661216,lake,0
102.04563344273984,108.26949667784706,94.64873060268587,lake,0
98.44207303111293,106.7031307816621,103.46206798997636,lake,0
105.707278504293,114.33348301680232,113.4181740513412,lake,0
88.93856841729362,91.75015668722766,89.34952097412221,lake,0
79.77422584639316,80.75590037241145,76.72596508989281,lake,0
80.62032981928004,90.49400631288998,81.56401284700688,lake,0
71.95552642004523,80.82853465422272,73.38857771331647,lake,0
89.31730597014474,86.03761397887294,95.26348151171918,lake,0
87.41430869856448,88.48956310792033,87.02939845518883,lake,0
67.74414014395802,65.20015596686395,63.976741666702615,lake,0
82.24450515713804,89.04493820617331,86.40714697512644,lake,0
78.50999230142644,95.26205274933844,82.80967379817677,lake,0
88.50961099854605,87.88326135416827,82.38725072835909,lake,0
77.88849471997464,79.4365096023495,73.7597308700829,lake,0
102.6392895055099,102.36505755021534,104.15446390562477,lake,0
87.9801023915701,82.18063040574387,79.51283448435039,lake,0
92.93367081049678,97.42198189018718,101.33539770591356,lake,0
73.3593886210192,76.06841375332745,72.86712855772203,lake,0
39.10571619870355,38.73428568740452,29.563543358419444,lake,0
89.12724167112029,95.70759948164734,94.73267571158188,lake,0
89.67391786698246,91.53278938961516,85.52225232961604,lake,0
68.63240052731673,74.97173120841981,78.35347866131062,lake,0
83.27508890636682,85.53165129621826,91.3627639902526,lake,0
96.61885649620136,104.84885150391172,104.34190780739364,lake,0
95.3207216303307,101.22954260040645,91.45685421862832,lake,0
60.510658579925305,60.70839862282615,57.19802911336747,lake,0
90.73540404915354,100.17095933180218,92.51351123825792,lake,0
73.08947269086374,70.42674655381293,69.68239271030782,lake,0
82.59718785915027,83.45134162375871,90.39526654901309,lake,0
68.01633618330534,75.76889998504808,72.68369070376876,lake,0
72.62560873605312,81.58556562315523,65.91486608557118,lake,0
71.43537311800289,83.12290775236313,66.75276507108617,lake,0
88.82952982031927,114.6584049012503,115.22417434799732,river,1
81.28804568212331,105.57817369779272,102.07301765676804,river,1
79.82476730977513,110.74816122863766,109.14790273010092,river,1
101.16886055983376,122.12229834723615,124.64582811974348,river,1
95.05054142809637,118.02970240691349,123.69133975188122,river,1
92.68236885056128,115.78423541954452,113.840356884551,river,1
91.4318528715311,109.9099936906498,115.79953618272704,river,1
97.64728744222047,108.66504536994783,101.08812704474953,river,1
126.69488718925972,144.99304193908978,152.87589736570703,river,1
92.76521099382622,105.85531360569068,98.77478861907458,river,1
94.882766034904,109.25776729248992,107.65184880414084,river,1
114.68225416199812,128.89762943452652,132.65113144718595,river,1
122.59758006603074,141.13458518093543,147.5936218580702,river,1
98.05387932199132,112.00565061462385,113.36693870989684,river,1
108.13683187445652,124.9936300545151,124.33008201673135,river,1
135.89922721143418,151.0722981006281,154.95778285487864,river,1
117.66571935196896,136.11452506462908,138.22154248535566,river,1
117.94124177059564,120.65546086309264,110.53101356559571,river,1
92.92590208570904,113.55904595035202,110.83217785017216,river,1
88.41887964857656,110.99847462800552,120.00307786452927,river,1
