r,g,b,label
34.22618788124556,39.966643286297064,29.326377440882798,lake
16.564599999999988,19.66579999999997,12.538099999999988,lake
31.127125352041496,45.680015021447026,33.052211296355054,lake
54.06230041961828,56.75241875107495,49.768346145570554,lake
21.031275261447707,32.983297074493606,24.223755698631447,lake
37.096509527471795,40.740283012592464,29.4179892994999,lake
74.685942173331,73.092226725472,69.04803975882984,lake
71.09719186968739,75.34662372529625,65.0966124598862,lake
11.806495240920322,13.432515502904337,6.140869589308384,lake
44.791913496670716,55.454320962664184,36.39254335774988,lake
135.7613622461044,138.4939366540696,134.29124049654368,lake
132.81930364246813,132.47875010718516,130.5385004898023,lake
141.5383008121714,153.9677230593986,141.82012493311308,lake
165.85149999999993,175.0304000000001,161.73579999999998,lake
34.82176802663566,43.82136933055676,27.100840246916363,lake
38.65690233194952,43.89996337395877,26.18237091519938,lake
30.120203180644808,29.272963864433994,23.240890219633005,lake
36.0647169847215,38.546765736723685,28.73506575339703,lake
15.371400000000005,15.432699999999988,9.04270000000001,lake
44.14784491483599,53.15035411781475,37.45490266408643,lake
29.85871607793871,31.80549777836117,24.963254279330794,lake
16.357997453628705,17.89708885723127,16.796837478049408,lake
32.10914283539304,22.580090920401364,19.708203912914332,lake
19.602300000000042,20.013300000000015,13.763099999999996,lake
31.678588179028935,31.4606087145731,21.017497826769844,lake
46.274978184286844,66.88107312138636,41.649838164578654,lake
60.05078684344643,69.94031668998875,45.56320969062495,lake
25.11234986922595,29.138343631505425,25.902369619967814,lake
32.63397209485108,38.291467125517734,30.466000483149543,lake
37.96429254515131,46.903400039771824,40.7545974832489,lake
28.401948286627665,33.33425717239933,27.313831908297214,lake
36.13131876275922,38.74386337569572,30.745284470521987,lake
35.81698413478543,49.455332131272165,29.37124222050473,lake
26.579857915436104,27.055659561897638,20.386017793746824,lake
41.927740641191455,50.38691699311832,36.04096380449577,lake
60.95106435276502,50.92940878429898,48.24153360447669,lake
12.5065,10.448799999999986,8.694400000000009,lake
21.12393492823993,25.712953795872107,20.530759363775623,lake
33.47929535622945,32.3996012042881,26.945685534802205,lake
17.46049371612167,16.62651718410254,11.664203043781805,lake
114.78092727926732,115.65540375005844,114.82677256568775,lake
26.627357414143166,21.6881544983477,17.67577639806521,lake
27.17795461927965,29.759290565676896,19.3654873150842,lake
33.26784073865638,37.7837698850571,27.039990345106073,lake
29.41793591441672,34.53296781435174,25.53659730116415,lake
29.268492589154317,34.75768750453468,26.108422601373785,lake
28.708299157516187,27.56465198138366,23.40979731636572,lake
41.537676796190034,40.816030332177895,30.667039799241262,lake
122.72682967067037,127.90346190558743,116.78743695188754,lake
31.511316662525278,35.60510057855047,23.502464900965464,lake
36.5010388375175,32.804193303544636,30.11147022749137,lake
43.414675325887636,42.580770620105994,36.96626386756421,lake
31.815629488597303,27.66844942458848,25.506678730980056,lake
17.51996278830438,21.712536388528008,14.459684882314454,lake
32.08146431691702,45.945123367704994,25.905594750314236,lake
33.255251259715195,29.755914655829155,21.29180929918138,lake
31.440025284119784,29.40404865084238,22.384996994394818,lake
36.868688557245704,32.43421072769058,25.568275154677732,lake
39.377240192790914,36.34299230521342,24.325571956927888,lake
19.894007793110276,21.5536927285761,12.535616113042774,lake
26.673959559817366,23.632844087681928,19.30630036954577,lake
23.880528506246446,20.0042889095195,11.461381082805602,lake
15.04243403430403,17.950199035147797,14.108521977940477,lake
54.13820642845682,58.258666950847214,44.88726695134428,lake
26.943265528177488,30.717024916110667,27.536347210171023,lake
27.85691498544669,34.34509336559153,25.28341481930287,lake
21.35460000000003,25.034599999999948,24.611499999999925,lake
56.402662105260546,67.4169748025429,42.838896747801144,lake
17.624922676223633,16.444316384380542,13.066128848811143,lake
28.885731258590553,30.328069065623797,19.38579044660385,lake
27.31501540800773,20.715588485468388,17.025284123308236,lake
22.33022174015782,20.651746903110755,15.632031360481848,lake
28.635279080272074,27.789965639353916,17.21558635969556,lake
24.375345502928223,28.08804879356926,15.931665061942562,lake
29.008616467385927,33.47875461269809,22.667733708378517,lake
