r,g,b,label
136.86054944019682,114.17597422203647,58.43852812674883,sea
92.56349874366728,78.65348243784851,39.59494991339356,sea
84.0645415762979,70.81345182791084,39.83239868697009,sea
91.80254145317278,74.08353871184069,36.42151372079221,sea
109.86461951849708,91.1488012078018,38.96856361687811,sea
144.62672903362025,114.52329587312708,46.04055755732321,sea
159.45059839251024,125.58410174880765,59.05222685921216,sea
146.3443809104325,123.96503616496254,66.16910232020001,sea
88.84631868148563,71.49927900742982,45.317993075865274,sea
90.17052417594942,71.30483870223323,40.216158097069496,sea
96.04513842377067,77.82686620407651,39.31346313380374,sea
138.2577236710566,115.37781550728084,51.00293583032604,sea
101.94941108622132,83.88623979684901,39.20125089489373,sea
105.39550530097455,96.24086781561225,50.95520287288567,sea
102.03099304642313,89.34679245491537,43.129091918387836,sea
104.57466671927725,87.08651627839255,39.71763759817618,sea
99.37503537365589,81.0203105949706,38.996663051146015,sea
88.92534402302337,89.28620439222149,55.06204676761985,sea
90.48059335155094,80.2618945834093,45.542173323882096,sea
87.32075131976207,74.6893841446854,43.37485214454667,sea
87.21191946101727,68.50830993763375,42.58149810008124,sea
92.1094,70.2929,45.059200000000004,sea
109.9472,93.3844,40.08300000000001,sea
91.62152436225324,80.01704107646404,48.54630289964369,sea
82.9433890527126,53.973797577082635,44.328784076561874,sea
73.24167222722933,47.61418799593389,40.500351710857636,sea
62.23418579861876,41.0796523073114,35.72834518172831,sea
55.708238783074556,36.82271761639184,32.476515470851645,sea
91.07493067584227,95.3399108534689,79.33194861443373,sea
68.5690852651758,44.89382657764733,37.98361719794256,sea
81.1853931412554,52.63268289641628,43.81294914844588,sea
93.58436953696757,60.054912173262636,48.98955297630673,sea
101.6067224837219,65.329261461199,53.28944756559329,sea
87.7353747475022,72.47524041417509,37.38841076666971,sea
112.63435123542297,72.10504394144651,58.34728198413458,sea
121.58243577039025,77.24314433446135,62.736663338676834,sea
146.0294878612417,92.93153157245925,75.38421366522535,sea
139.11768857085798,88.02130636579504,71.32051685446697,sea
133.93486750485647,84.9955055708245,68.66272313879963,sea
128.18570859907044,81.3713093818371,66.26346224261378,sea
115.09976977608648,73.1526499468757,58.86356984040085,sea
104.66643636770804,67.18764470369835,54.290910178021,sea
155.16051698719906,97.69239098019814,76.92909668886195,sea
152.81861445498419,96.24460560130615,75.99146047585866,sea
126.5328442544223,106.75827301091658,42.01396658063578,sea
150.4279,94.9991,75.5316,sea
146.00452114465116,91.90472268050516,73.99271624310013,sea
156.4285513925065,98.42789148810104,77.99139182923629,sea
156.11152235069707,98.93937718536513,78.02694808657871,sea
155.900244893421,97.89564794012605,77.50567763285305,sea
155.1669,97.66789999999999,76.9294,sea
151.55724097153248,95.69551560043641,75.50588446229132,sea
147.50468190466947,92.79322528690045,74.58218845655706,sea
154.1916,97.2181,76.2212,sea
153.6417294276149,96.69872447422634,75.70105674393506,sea
149.28156675339307,129.6208334078994,75.99523358922204,sea
158.9901260866491,100.55981527716811,80.2726982858849,sea
155.56707617410314,98.30270824179216,77.44316300439368,sea
155.9538758347009,98.08431193265267,77.52440512507627,sea
156.0,98.99925373134329,78.25,sea
155.5,97.875,77.125,sea
157.50893057420868,100.03048005015829,79.27457192419904,sea
155.25139810444614,97.8006036087886,77.01012725263445,sea
155.11111111111111,97.88888888888889,77.11111111111111,sea
155.71428571428572,98.42857142857143,77.85714285714286,sea
155.42857142857142,97.99442005011164,77.28571428571429,sea
162.2861203083322,142.74213843183074,97.42092927558527,sea
155.9973,98.6681,77.834,sea
159.27350810538536,102.27871671182183,81.27730825605217,sea
155.8,97.7,77.3,sea
160.12432105365912,102.73132276923582,81.92979307325426,sea
152.28492480393552,96.35418594870474,75.99446504399168,sea
154.99582928496886,97.99821333896978,77.00061638047863,sea
154.7,97.7,77.10032679738563,sea
163.70234993511428,136.82392727415015,77.41397118387079,sea
133.793869567605,107.6355856665852,37.02472480674828,sea
