r,g,b,label,label_int
34.22618788124556,39.96664328629706,29.3263774408828,lake,0
16.564599999999988,19.66579999999997,12.538099999999988,lake,0
31.127125352041496,45.68001502144703,33.052211296355054,lake,0
54.06230041961828,56.75241875107495,49.76834614557056,lake,0
21.031275261447707,32.983297074493606,24.223755698631447,lake,0
37.0965095274718,40.740283012592464,29.4179892994999,lake,0
74.685942173331,73.092226725472,69.04803975882984,lake,0
71.09719186968739,75.34662372529625,65.0966124598862,lake,0
11.806495240920322,13.432515502904335,6.140869589308384,lake,0
44.79191349667072,55.45432096266418,36.39254335774988,lake,0
135.7613622461044,138.4939366540696,134.29124049654368,lake,0
132.81930364246813,132.47875010718516,130.5385004898023,lake,0
141.5383008121714,153.9677230593986,141.82012493311308,lake,0
165.85149999999993,175.0304000000001,161.73579999999998,lake,0
34.82176802663566,43.82136933055676,27.100840246916363,lake,0
38.65690233194952,43.89996337395877,26.18237091519938,lake,0
30.120203180644808,29.272963864433997,23.240890219633005,lake,0
36.0647169847215,38.546765736723685,28.73506575339703,lake,0
15.371400000000005,15.432699999999988,9.04270000000001,lake,0
44.14784491483599,53.15035411781475,37.45490266408643,lake,0
29.85871607793871,31.80549777836117,24.963254279330798,lake,0
16.357997453628705,17.89708885723127,16.796837478049408,lake,0
32.10914283539304,22.580090920401364,19.70820391291433,lake,0
19.60230000000004,20.01330000000001,13.763099999999996,lake,0
31.67858817902893,31.4606087145731,21.017497826769844,lake,0
46.27497818428685,66.88107312138636,41.649838164578654,lake,0
60.05078684344643,69.94031668998875,45.56320969062495,lake,0
25.11234986922595,29.138343631505425,25.90236961996781,lake,0
32.63397209485108,38.29146712551773,30.466000483149543,lake,0
37.96429254515131,46.903400039771824,40.7545974832489,lake,0
28.401948286627665,33.33425717239933,27.31383190829721,lake,0
36.13131876275922,38.74386337569572,30.745284470521987,lake,0
35.81698413478543,49.455332131272165,29.37124222050473,lake,0
26.579857915436104,27.05565956189764,20.386017793746824,lake,0
41.927740641191455,50.38691699311832,36.04096380449577,lake,0
60.95106435276502,50.92940878429898,48.24153360447669,lake,0
12.5065,10.448799999999986,8.694400000000009,lake,0
21.12393492823993,25.712953795872107,20.530759363775623,lake,0
33.47929535622945,32.3996012042881,26.945685534802205,lake,0
17.46049371612167,16.62651718410254,11.664203043781804,lake,0
114.78092727926732,115.65540375005844,114.82677256568776,lake,0
26.62735741414317,21.6881544983477,17.67577639806521,lake,0
27.17795461927965,29.759290565676896,19.3654873150842,lake,0
33.26784073865638,37.7837698850571,27.039990345106077,lake,0
29.41793591441672,34.53296781435174,25.53659730116415,lake,0
29.26849258915432,34.75768750453468,26.108422601373785,lake,0
28.708299157516187,27.56465198138366,23.40979731636572,lake,0
41.537676796190034,40.816030332177895,30.667039799241262,lake,0
122.72682967067036,127.90346190558743,116.78743695188754,lake,0
31.51131666252528,35.60510057855047,23.502464900965464,lake,0
36.5010388375175,32.80419330354464,30.11147022749137,lake,0
43.41467532588764,42.580770620106,36.96626386756421,lake,0
31.815629488597303,27.66844942458848,25.506678730980056,lake,0
17.51996278830438,21.712536388528008,14.459684882314454,lake,0
32.08146431691702,45.945123367704994,25.90559475031424,lake,0
33.255251259715195,29.755914655829155,21.29180929918138,lake,0
31.440025284119784,29.40404865084238,22.384996994394815,lake,0
36.8686885572457,32.43421072769058,25.56827515467773,lake,0
39.377240192790914,36.34299230521342,24.325571956927888,lake,0
19.89400779311028,21.5536927285761,12.535616113042774,lake,0
26.67395955981737,23.632844087681928,19.30630036954577,lake,0
23.88052850624645,20.0042889095195,11.461381082805602,lake,0
15.04243403430403,17.950199035147797,14.108521977940477,lake,0
54.13820642845682,58.258666950847214,44.88726695134428,lake,0
26.943265528177488,30.717024916110667,27.536347210171023,lake,0
27.85691498544669,34.34509336559153,25.28341481930287,lake,0
21.35460000000003,25.034599999999948,24.611499999999925,lake,0
56.40266210526055,67.4169748025429,42.83889674780114,lake,0
17.624922676223633,16.444316384380542,13.066128848811143,lake,0
28.885731258590557,30.3280690656238,19.38579044660385,lake,0
27.31501540800773,20.715588485468388,17.025284123308236,lake,0
22.33022174015782,20.651746903110755,15.632031360481848,lake,0
28.635279080272078,27.78996563935392,17.21558635969556,lake,0
24.375345502928223,28.08804879356926,15.931665061942562,lake,0
29.008616467385927,33.47875461269809,22.66773370837852,lake,0
75.83749888519213,85.32372367999245,92.01271966163384,river,1
80.55089999999991,107.00120000000004,116.86860000000009,river,1
69.34523025549457,91.215996868689,102.81557949182488,river,1
65.97410349316381,92.38039511779208,100.87731328762644,river,1
65.91106361459241,77.67657256858877,83.48937049219887,river,1
72.71909999999998,94.0821,103.11569999999998,river,1
82.28899994743801,98.8581896671454,106.92774777778148,river,1
72.1468038876234,87.28197097942241,92.74382628196643,river,1
62.457937678125504,69.758562499572,55.67176293034133,river,1
110.10252046819816,125.38212023740137,131.85551766658074,river,1
70.55367933408135,81.53918510690002,75.63789759330305,river,1
63.74859555580093,75.52423397110421,83.95123583770946,river,1
59.74555743134273,68.47127498431992,75.83664516962014,river,1
78.77368455888048,90.69253070704104,97.78179337984994,river,1
49.02555015554432,56.960967081751896,65.05848225337361,river,1
68.47100733368754,78.98953368304468,82.67672651037606,river,1
102.5320983683903,113.60101317979536,122.35297737761113,river,1
67.45280846769623,77.81374627218007,83.48949407045892,river,1
69.83724254504791,78.32762924664928,86.24536255531918,river,1
45.676822479867,57.06118933677749,58.2626961763351,river,1
63.73156714224525,80.65675636427197,96.75287216852044,river,1
60.102695854285855,76.4198424587064,85.78332035862157,river,1
58.80292671625124,69.48660850402943,80.21689775972165,river,1
54.44007417862355,62.46866806461552,70.46532701278194,river,1
50.23662875275703,59.679958407094745,68.16496515235295,river,1
47.8049457946634,56.38657094389361,64.65984859384344,river,1
53.67826505353906,65.32674424574316,75.25119338828523,river,1
63.205606373354,71.44716078941264,72.16707717668672,river,1
85.16639999999997,107.60650000000004,132.19990000000004,river,1
72.53890000000017,97.52269999999994,115.04810000000002,river,1
59.0407939021752,74.43991904777081,89.67524187687256,river,1
95.49257531292636,102.12229188314092,90.38459006629188,river,1
72.04267309115205,86.88502504728123,104.3952502942632,river,1
73.20255863508041,80.97281504910329,72.04691663768627,river,1
61.97383920858079,69.24142385846352,65.70458591185694,river,1
87.884,93.94389999999989,79.45530000000011,river,1
65.58573354134587,61.96672283958505,51.04394790123973,river,1
71.83005814490726,68.86068406990483,57.16164655782477,river,1
83.96807558106002,81.53684783091738,69.27683921981273,river,1
108.71100000000006,104.69839999999992,86.10079999999994,river,1
52.69805552798573,62.7507688649297,68.24392912260667,river,1
46.10046252818032,53.0233740041195,56.95611709869032,river,1
68.23660154981263,76.5114053179571,94.89744274584106,river,1
81.16585718551399,90.687392174654,112.5458602724858,river,1
64.97446439413659,70.93946677942576,89.82884573683779,river,1
93.4777,91.33949999999996,104.7982,river,1
62.7162797250561,58.779577288540025,40.01495086686512,river,1
116.0332391588401,120.47911767125709,126.28476116243624,river,1
65.55811169095884,85.00365582434775,94.34055945576324,river,1
68.14522428467093,88.83315437431322,94.38468190307655,river,1
52.87500169771032,79.63221812031117,83.1134076834743,river,1
69.95648673393599,88.0071190202197,82.22465546849661,river,1
56.92240505885049,70.88488342620174,60.98623829487069,river,1
54.23911318251088,67.1363584983768,66.1879426096092,river,1
57.9765910938176,67.16987411126901,59.033438606005824,river,1
48.58388328342274,64.18920716569444,61.37916043833805,river,1
59.19484360015604,62.04244383123645,43.38762780723717,river,1
67.40689999999996,87.87750000000011,66.36950000000006,river,1
98.8961,121.87519999999984,104.25180000000005,river,1
55.77755316965355,66.57163472808716,54.54154197132088,river,1
59.44335862245763,68.69698317908214,58.41631868842183,river,1
45.17637960462771,49.21417704139544,43.87608704265534,river,1
61.79618458944925,69.05173860052668,59.50276202242598,river,1
37.06539931501712,40.925398416103725,33.64600607088943,river,1
51.07101956548671,61.5737519379335,48.356722231380886,river,1
114.60749999999994,132.53480000000002,131.85650000000007,river,1
74.16720025303633,83.41970575878989,88.97727224161385,river,1
37.16462396557013,49.85917824150245,32.16832513739469,river,1
23.73283216336048,32.28933704837975,21.21700053106641,river,1
55.58892572980263,64.57576869213976,62.7174462325389,river,1
54.69839999999994,67.88470000000001,60.43079999999997,river,1
63.38500180518055,69.24697932467787,63.8732617533242,river,1
59.21014033995541,70.943906535557,60.699646116033136,river,1
46.11930074024036,51.88508910965195,43.92936274657901,river,1
75.27402446069692,90.65387956422197,94.01837322223192,river,1
67.10679695013101,80.08264153415203,79.97252814240736,river,1
74.77869476899076,84.55337275146248,83.17421120654528,river,1
67.60886516164292,83.23240024594543,76.6589424605627,river,1
57.61095679718403,70.74383503595907,63.761833456024,river,1
76.26446525241276,92.35268332810006,90.97692946583328,river,1
103.6727,130.70080000000002,133.09440000000004,river,1
98.6852893330707,116.83164782511288,133.5561608895243,river,1
108.88189491201878,126.31844431287398,143.3035092847707,river,1
124.90592636521453,142.479400568022,158.22241624335547,river,1
115.5369304708542,132.87190477142195,149.23801936545368,river,1
77.18490427745252,95.07058674660334,110.19645496130528,river,1
98.39285525718049,116.54733226816634,131.65525026416756,river,1
108.62773693042874,125.65809339679168,142.51471748314847,river,1
73.18940685852944,88.17436880541531,100.3504781373993,river,1
109.04275556483331,126.1267650585054,142.23236981006033,river,1
77.16524505420182,87.54024029925208,99.24014806362042,river,1
65.49949999999998,81.96190000000013,98.76519999999968,river,1
68.31758937030192,83.02991531710555,91.77194095309812,river,1
63.63564630047679,78.04341702733367,85.71135462443566,river,1
74.93459263870776,97.3148003608865,109.33442241033984,river,1
62.459892200663504,82.480327130446,93.3177043169934,river,1
73.06191181976138,97.49499560955203,113.71123160125208,river,1
72.15842297724147,96.79306374364602,108.8606922494419,river,1
